question,answer,type

"서울 검색해줘","searchKeyword","searchKeyword"
"서울 관련 쇼츠","searchShorts","searchShorts"
"서울 관련 일정","searchItinerary","searchShorts"
"서울 관련 일기","searchDiary","searchDiary"
"서울 장소 추천","searchPlace","searchPlace"
"추천 지역","randomArea","randomArea"
"추천 장소","randomPlace","randomPlace"
"추천 쇼츠","randomShorts","randomShorts"
"추천 일정","randomItinerary","randomItinerary"
"추천 일기","randomDiary","randomDiary"
"안녕","안녕하세요! 무엇을 도와드릴까요?","message"
"서울에서 가볼만한 명소는 어디일까?","여기 서울의 명소를 추천해 드릴게요.","searchPlace"
"서울 관련 쇼츠를 보여줄 수 있어?","서울과 관련된 쇼츠입니다!","searchShorts"
"서울에서 작성한 일정을 보여줄 수 있을까요?","다른 사람의 서울에서의 일정을 보여드릴게요!","searchItinerary"
"서울에서 무작위로 추천할 장소가 있을까요?","이곳에서 무작위로 추천하는 장소입니다!","randomPlace"
"짧은 여행을 위한 아이디어가 필요해.","짧은 여행을 위한 아이디어를 드릴게요!","randomShorts"
"여행 일기에 쓸만한 아이디어를 원해.","여행 일기를 작성하기 전 다른 사람의 일기를 확인해 보는 건 어떨까요?!","randomDiary"
"서울에서 놀만한 장소를 알고 싶어.","여기 서울에서 놀만한 장소를 소개할게요!","searchKeyword"
"서울의 명소를 찾고 있어.","서울의 명소를 추천해 드릴게요!","searchKeyword"
"서울에 대한 좋은 정보를 원해.","서울에 대한 정보를 제공할게요!","searchKeyword"
"서울에서 일정 추천해줄 수 있어?","서울에서의 일정을 추천해 드릴게요!","searchItinerary"
"서울에서 방문할 만한 곳은 어디?","서울에서 방문할 만한 곳을 추천해 드릴게요.","searchKeyword"
"무작위로 가볼 만한 장소를 추천해줘.","무작위로 추천하는 장소입니다!","randomPlace"
"여행 계획 아이디어가 필요해.","여행 계획을 위한 아이디어를 제공할게요!","randomItinerary"
"서울 여행 일정을 제안해줄 수 있어?","서울에서의 일정을 추천해 드릴게요!","searchItinerary"
"서울에서 재미있는 장소를 찾고 있어.","서울에서 재미있는 장소를 추천해 드릴게요!","searchPlace"
"여행 아이디어가 필요해.","여행 아이디어를 제안해 드릴게요!","randomItinerary"
"여행 일기를 위한 아이디어가 필요해.","여행 일기를 위한 아이디어를 제공할게요!","randomDiary"
"서울에서 가볼만한 장소를 추천해줘.","서울에서 추천할 만한 장소입니다!","searchKeyword"
"서울 관련 쇼츠를 보여줄 수 있나요?","서울과 관련된 쇼츠를 보여드릴게요!","searchShorts"
"서울에서 활동할만한 곳을 찾고 있어.","서울에서 활동할 만한 장소를 추천해 드릴게요!","searchArea"
"서울에서 즐길만한 장소를 알려줘.","서울에서 즐길만한 장소를 추천해 드릴게요!","searchPlace"
"서울의 쇼핑 명소를 알고 싶어.","서울에서 쇼핑할 명소를 추천해 드릴게요!","searchKeyword"
"서울에서의 여행 일정을 추천해 줄 수 있나요?","서울에서의 일정을 추천해 드릴게요!","searchItinerary"
"서울에서 할만한 활동이 뭐가 있을까?","서울에서 할 만한 활동을 추천해 드릴게요!","searchPlace"
"무작위로 방문할 장소 추천해줘.","무작위로 추천하는 장소입니다!","randomPlace"
